Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-95.25,-88.9,0,bottom
C2,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-95.25,-82.55,0,bottom
C3,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-76.25,-78.58125,90,bottom
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-72.814952,-79.759329,90,bottom
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-72.263095,-91.665284,-90,bottom
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-79.58111,-79.771366,90,bottom
C7,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-78.9756,-91.649945,-90,bottom
C8,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-76.2,-73.81875,90,bottom
D1,D_Small,D_SOD-123,-69.85,-57.15,90,bottom
D2,D_Small,D_SOD-123,-88.9,-57.15,90,bottom
D3,D_Small,D_SOD-123,-107.95,-57.15,90,bottom
D4,D_Small,D_SOD-123,-69.85,-76.2,90,bottom
D5,D_Small,D_SOD-123,-88.9,-76.2,90,bottom
D6,D_Small,D_SOD-123,-107.95,-76.2,90,bottom
D7,D_Small,D_SOD-123,-69.85,-95.25,90,bottom
D8,D_Small,D_SOD-123,-88.9,-95.25,90,bottom
D9,D_Small,D_SOD-123,-107.95,-95.25,90,bottom
F1,500mA,Fuse_1206_3216Metric,-76.2,-64.10625,90,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-76.2,-48.41875,0,bottom
R1,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-75.40625,-69.05625,90,bottom
R2,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-76.99375,-69.05625,90,bottom
R3,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-80.16875,-66.675,0,bottom
R4,22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-76.99375,-59.53125,90,bottom
R5,22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-75.40625,-59.53125,90,bottom
R6,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-73.878918,-91.659926,90,bottom
SW1,Rotary_Encoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,-66.675,-57.15,90,bottom
SW2,Rotary_Encoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,-85.725,-57.15,90,bottom
SW3,Rotary_Encoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,-104.775,-57.15,90,bottom
SW4,Rotary_Encoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,-66.675,-76.2,90,bottom
SW5,Rotary_Encoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,-85.725,-76.2,90,bottom
SW6,Rotary_Encoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,-104.775,-76.2,90,bottom
SW7,Rotary_Encoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,-66.675,-95.25,90,bottom
SW8,Rotary_Encoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,-85.725,-95.25,90,bottom
SW9,Rotary_Encoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,-104.775,-95.25,90,bottom
SW10,SW_Push,SKQG-1155865,-95.25,-66.675,0,bottom
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,-76.2,-85.725,-90,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-95.25,-85.725,90,bottom
